Loss,f1,number_of_samples,percentage_of_samples
0.23985486413585022,0.7115384615384616,100,0.22779043280182232
0.23695752583444118,0.7272727272727272,200,0.45558086560364464
0.18237580347340554,0.7818181818181819,300,0.683371298405467
0.20150373852811754,0.7476635514018691,400,0.9111617312072893
