Loss,f1,number_of_samples,percentage_of_samples
0.02281828631059901,0.5163636363636362,100,0.05917159763313609
0.020171200761204943,0.5717367853290183,200,0.11834319526627218
0.02106754773697677,0.3753581661891117,300,0.17751479289940827
0.020057219348134512,0.5892857142857142,400,0.23668639053254437
0.021107381625853953,0.2839116719242902,500,0.2958579881656805
0.021293216959593145,0.3425076452599389,600,0.35502958579881655
0.022504198866490115,0.17761989342806395,700,0.41420118343195267
0.02136568590859942,0.5218446601941747,800,0.47337278106508873
0.021449871519778636,0.43775649794801647,900,0.5325443786982249
0.02115480195820094,0.3057324840764331,1000,0.591715976331361
0.021427679494855568,0.2948717948717949,1100,0.650887573964497
0.021490220188539712,0.30128205128205127,1200,0.7100591715976331
0.021760499758764783,0.4338028169014085,1300,0.7692307692307693
0.024246169804060396,0.043137254901960784,1400,0.8284023668639053
0.022066973444530145,0.16876122082585276,1500,0.8875739644970414
0.02167329284550741,0.2990353697749197,1600,0.9467455621301775
