,Loss,Accuracy,f1,number_of_samples,percentage_of_samples
0,0.014973942617264887,0.9293342605862315,0.9205020920502092,1600,0.05917159763313609
1,0.013029868074227124,0.936669371088588,0.9205020920502092,1600,0.11834319526627218
2,0.010524706051607305,0.948471543526349,0.9205020920502092,1600,0.17751479289940827
3,0.00970785180106759,0.9527356063229657,0.9205020920502092,1600,0.23668639053254437
4,0.008057549712248147,0.9612248589337824,0.9205020920502092,1600,0.2958579881656805
5,0.007782942460228999,0.9663143300168527,0.9205020920502092,1600,0.35502958579881655
6,0.0075833826752689975,0.9646674529659852,0.9205020920502092,1600,0.41420118343195267
7,0.007705654211652775,0.9668409870546552,0.9205020920502092,1600,0.47337278106508873
8,0.00713103380985558,0.9664023445525786,0.9205020920502092,1600,0.5325443786982249
9,0.007181980778113939,0.9662959978016676,0.9205020920502092,1600,0.591715976331361
10,0.007255444710608572,0.959653177310995,0.9205020920502092,1600,0.650887573964497
11,0.005298895945694919,0.9747257305836033,0.9205020920502092,1600,0.7100591715976331
12,0.005547371421319743,0.968997237068327,0.9205020920502092,1600,0.7692307692307693
13,0.0060439760515388725,0.9693857457938989,0.9205020920502092,1600,0.8284023668639053
14,0.005239266504455979,0.9691397291921944,0.9205020920502092,1600,0.8875739644970414
15,0.0050294829707127064,0.977110783454935,0.9205020920502092,1600,0.9467455621301775
