Loss,f1,number_of_samples,percentage_of_samples
0.2958283662796021,0.6093750000000001,21,0.04783599088838269
0.2542347401380539,0.7307692307692308,43,0.0979498861047836
0.2621364325284958,0.7047619047619048,65,0.1480637813211845
0.2582737058401108,0.6610169491525425,87,0.19817767653758542
0.23689817786216735,0.7339449541284404,109,0.24829157175398633
0.2255671113729477,0.7288135593220338,131,0.2984054669703872
0.18872756659984588,0.7706422018348624,153,0.34851936218678814
0.20644884407520295,0.7678571428571429,175,0.39863325740318906
0.20818838477134705,0.8037383177570092,197,0.44874715261959
0.22582280933856963,0.736842105263158,219,0.4988610478359909
0.1920546293258667,0.8118811881188119,241,0.5489749430523918
0.2154554918408394,0.7413793103448276,263,0.5990888382687927
0.20128058046102523,0.7777777777777778,285,0.6492027334851936
0.2966502487659454,0.6013986013986014,307,0.6993166287015945
0.2127611294388771,0.7747747747747747,329,0.7494305239179955
0.20129624307155608,0.7959183673469388,351,0.7995444191343963
0.18722100108861922,0.7889908256880734,373,0.8496583143507973
0.1767645612359047,0.8301886792452831,395,0.8997722095671982
0.18507606387138367,0.8037383177570092,417,0.9498861047835991
0.19267066270112992,0.7547169811320754,438,0.9977220956719818
