Loss,f1,number_of_samples,percentage_of_samples
0.28928661346435547,0.7428571428571428,21,0.04783599088838269
0.2823579370975494,0.7222222222222221,43,0.0979498861047836
0.24222860038280486,0.7142857142857142,65,0.1480637813211845
0.24249579310417174,0.7843137254901961,87,0.19817767653758542
0.27571154534816744,0.7058823529411765,109,0.24829157175398633
0.24146065413951873,0.7777777777777778,131,0.2984054669703872
0.25188463032245634,0.7288135593220338,153,0.34851936218678814
0.2876052141189575,0.6766917293233083,175,0.39863325740318906
0.20737867057323456,0.7706422018348624,197,0.44874715261959
0.20079471468925475,0.7747747747747747,219,0.4988610478359909
0.24331611394882202,0.7040000000000001,241,0.5489749430523918
0.21145451366901397,0.8224299065420562,263,0.5990888382687927
0.21098038405179978,0.7652173913043478,285,0.6492027334851936
0.20091676712036133,0.7747747747747747,307,0.6993166287015945
0.2098491832613945,0.7747747747747747,329,0.7494305239179955
0.2226354032754898,0.6875,351,0.7995444191343963
0.1890401601791382,0.7889908256880734,373,0.8496583143507973
0.19744985699653625,0.7547169811320754,395,0.8997722095671982
0.19254017174243926,0.7543859649122807,417,0.9498861047835991
0.2000511556863785,0.7586206896551724,438,0.9977220956719818
