Loss,f1,number_of_samples,percentage_of_samples
0.34689501821994784,0.6140350877192983,21,0.04783599088838269
0.34863761365413665,0.6017699115044246,43,0.0979498861047836
0.3923249363899231,0.6153846153846153,65,0.1480637813211845
0.3315837025642395,0.6666666666666665,87,0.19817767653758542
0.3240667521953583,0.7090909090909091,109,0.24829157175398633
0.275483050942421,0.7454545454545455,131,0.2984054669703872
0.23681254386901857,0.7450980392156863,153,0.34851936218678814
0.22637527883052827,0.7610619469026548,175,0.39863325740318906
0.2329891264438629,0.7017543859649122,197,0.44874715261959
0.21694302558898926,0.7169811320754716,219,0.4988610478359909
0.25312766134738923,0.6885245901639345,241,0.5489749430523918
0.2206106588244438,0.736842105263158,263,0.5990888382687927
0.22872433960437774,0.736842105263158,285,0.6492027334851936
0.2163869246840477,0.7735849056603775,307,0.6993166287015945
0.2475113421678543,0.7368421052631579,329,0.7494305239179955
0.22251970767974855,0.7652173913043478,351,0.7995444191343963
0.21998148560523986,0.7636363636363637,373,0.8496583143507973
0.23045417815446853,0.7454545454545455,395,0.8997722095671982
0.19494818598032,0.7962962962962964,417,0.9498861047835991
0.21492497324943544,0.7433628318584072,438,0.9977220956719818
