Loss,f1,number_of_samples,percentage_of_samples
0.16248644888401031,0.7619047619047619,51,0.05
0.1505088575184345,0.7534626038781165,102,0.1
0.1708505094051361,0.7493403693931397,153,0.15
0.17890111804008485,0.7111111111111111,204,0.2
0.19505252540111542,0.7638190954773869,254,0.24901960784313726
0.15662491656839847,0.7712765957446808,306,0.3
0.13572421977296473,0.8010471204188482,357,0.35
0.14210930652916431,0.7814207650273224,408,0.4
0.1442681670188904,0.81151832460733,458,0.44901960784313727
0.12726337034255267,0.7878787878787878,509,0.49901960784313726
0.1274276129901409,0.8194070080862534,561,0.55
0.14110355228185653,0.8253968253968254,612,0.6
0.1420739248394966,0.8108108108108107,663,0.65
0.1473568320274353,0.8072916666666667,714,0.7
0.1277946848422289,0.8138297872340425,765,0.75
0.12855014726519584,0.8205128205128206,816,0.8
0.14792659729719163,0.8186528497409327,867,0.85
0.14713470190763472,0.8051948051948051,918,0.9
0.14116037786006927,0.8071979434447301,969,0.95
0.1818840265274048,0.7761194029850745,1020,1.0
