Loss,f1,number_of_samples,percentage_of_samples
0.1766475483775139,0.729064039408867,51,0.05
0.16712631471455097,0.7461928934010152,102,0.1
0.15658080130815505,0.77720207253886,153,0.15
0.16527589559555053,0.7210526315789474,204,0.2
0.16292659267783166,0.7672634271099744,254,0.24901960784313726
0.14949496872723103,0.7506849315068492,306,0.3
0.16780905425548553,0.7591623036649215,357,0.35
0.14393432773649692,0.7747252747252749,408,0.4
0.1365956898778677,0.8096514745308312,458,0.44901960784313727
0.12266619913280011,0.7989556135770235,509,0.49901960784313726
0.13998836502432824,0.8010471204188482,561,0.55
0.13081273548305034,0.8216216216216216,612,0.6
0.1326163441874087,0.8054054054054054,663,0.65
0.14828214272856713,0.7938931297709922,714,0.7
0.11327091678977012,0.8216216216216216,765,0.75
0.12448843941092491,0.8113695090439277,816,0.8
0.1294838473200798,0.8065395095367848,867,0.85
0.14001366384327413,0.7874015748031497,918,0.9
0.13571627512574197,0.8010471204188482,969,0.95
0.12311532199382783,0.8075880758807588,1020,1.0
