Loss,f1,number_of_samples,percentage_of_samples
0.27659651041030886,0.6476190476190475,21,0.04783599088838269
0.27144407033920287,0.6964285714285715,43,0.0979498861047836
0.26811589002609254,0.6605504587155963,65,0.1480637813211845
0.2720808804035187,0.6788990825688074,87,0.19817767653758542
0.23729119151830674,0.7433628318584072,109,0.24829157175398633
0.2755021512508392,0.6837606837606838,131,0.2984054669703872
0.23317361176013945,0.7307692307692308,153,0.34851936218678814
0.23638057112693786,0.7358490566037736,175,0.39863325740318906
0.21171516180038452,0.7207207207207208,197,0.44874715261959
0.2115385800600052,0.736842105263158,219,0.4988610478359909
0.23972874879837036,0.7107438016528926,241,0.5489749430523918
0.20242746621370317,0.7521367521367521,263,0.5990888382687927
0.2051643520593643,0.7787610619469026,285,0.6492027334851936
0.18229889124631882,0.8037383177570092,307,0.6993166287015945
0.20271474719047547,0.7706422018348624,329,0.7494305239179955
0.20710654631257058,0.7894736842105264,351,0.7995444191343963
0.20049650520086287,0.7927927927927927,373,0.8496583143507973
0.21461330056190492,0.7522935779816514,395,0.8997722095671982
0.1814688354730606,0.8148148148148149,417,0.9498861047835991
0.24128352291882038,0.6865671641791045,438,0.9977220956719818
