Loss,f1,number_of_samples,percentage_of_samples
0.20891638547182084,0.7162534435261709,51,0.05
0.21306456625461578,0.7554347826086956,102,0.1
0.18690992519259453,0.7513513513513513,153,0.15
0.16941997595131397,0.75,204,0.2
0.18332208842039108,0.7676767676767676,254,0.24901960784313726
0.23299552798271178,0.7216981132075471,306,0.3
0.17088188827037812,0.7473684210526316,357,0.35
0.16319337151944638,0.788659793814433,408,0.4
0.18791088610887527,0.8031496062992125,458,0.44901960784313727
0.18363769650459288,0.7930174563591023,509,0.49901960784313726
0.19601467549800872,0.8064516129032259,561,0.55
0.14942746087908745,0.7956989247311829,612,0.6
0.17266313582658768,0.8009950248756219,663,0.65
0.17910335212945938,0.8207792207792208,714,0.7
0.14540271759033202,0.7989276139410187,765,0.75
0.1527383103966713,0.7936507936507937,816,0.8
0.13168915063142778,0.8093994778067886,867,0.85
0.13837656304240226,0.8205128205128206,918,0.9
0.11588407456874847,0.7978142076502733,969,0.95
0.12703088615089655,0.7989130434782609,1020,1.0
