Loss,f1,number_of_samples,percentage_of_samples
0.2920331358909607,0.6355140186915889,21,0.04783599088838269
0.31003333628177643,0.6846846846846847,43,0.0979498861047836
0.2608478516340256,0.6666666666666666,65,0.1480637813211845
0.257864847779274,0.7142857142857142,87,0.19817767653758542
0.22951524704694748,0.6728971962616823,109,0.24829157175398633
0.2572288066148758,0.7222222222222221,131,0.2984054669703872
0.2390354871749878,0.7192982456140351,153,0.34851936218678814
0.23513872176408768,0.7610619469026548,175,0.39863325740318906
0.2337227389216423,0.7818181818181819,197,0.44874715261959
0.23604393005371094,0.7407407407407407,219,0.4988610478359909
0.22187349945306778,0.7889908256880734,241,0.5489749430523918
0.1889638975262642,0.7835051546391754,263,0.5990888382687927
0.21201808750629425,0.7818181818181819,285,0.6492027334851936
0.2143694832921028,0.7878787878787878,307,0.6993166287015945
0.21625406295061111,0.7818181818181819,329,0.7494305239179955
0.23111239075660706,0.7543859649122807,351,0.7995444191343963
0.20710060000419617,0.7818181818181819,373,0.8496583143507973
0.2144065648317337,0.7818181818181819,395,0.8997722095671982
0.215082336217165,0.7747747747747747,417,0.9498861047835991
0.19867437332868576,0.7961165048543689,438,0.9977220956719818
