Loss,f1,number_of_samples,percentage_of_samples
0.3523652881383896,0.6470588235294118,21,0.04783599088838269
0.33281231820583346,0.6727272727272727,43,0.0979498861047836
0.30802213549613955,0.6732673267326733,65,0.1480637813211845
0.3008643627166748,0.7339449541284404,87,0.19817767653758542
0.26025478839874266,0.764705882352941,109,0.24829157175398633
0.2569222509860992,0.764705882352941,131,0.2984054669703872
0.22395598292350768,0.8148148148148149,153,0.34851936218678814
0.22048123478889464,0.7543859649122807,175,0.39863325740318906
0.19903641939163208,0.8037383177570092,197,0.44874715261959
0.22569436132907866,0.7884615384615385,219,0.4988610478359909
0.20869628041982652,0.7678571428571429,241,0.5489749430523918
0.19860170930624008,0.7413793103448276,263,0.5990888382687927
0.22611506283283234,0.7086614173228345,285,0.6492027334851936
0.19440849423408507,0.7543859649122807,307,0.6993166287015945
0.20371848493814468,0.7787610619469026,329,0.7494305239179955
0.21868166327476501,0.7350427350427351,351,0.7995444191343963
0.19171191304922103,0.7889908256880734,373,0.8496583143507973
0.21837370693683625,0.689655172413793,395,0.8997722095671982
0.2226269692182541,0.7307692307692308,417,0.9498861047835991
0.1981225624680519,0.7586206896551724,438,0.9977220956719818
